Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
03/01/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,2,0,0
03/02/2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
03/03/2020,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,3,0,0,0
03/04/2020,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
03/05/2020,1,0,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,3,3,0,0,0,3,3,0,0
06/23/2020,234,8,26,12,72,43,37,27,17,17,9,0,117,116,1,100,8,46,59,4,17,0,0,0,0,0,3,2,3,0,3,5,0,3,0,4,1,0,0,0,3,2,5,4,4,3,5,0,17,9,0,11,0,9,4,1,1
03/08/2020,3,0,7,0,0,1,1,0,0,1,0,0,1,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,3,4,0,2,0,4,1,0,0
10/22/2020,"1,305",4,67,146,330,307,214,137,92,53,26,0,682,620,3,544,33,199,347,44,138,0,0,1,1,0,0,2,0,0,2,2,0,1,0,1,2,0,0,0,5,6,8,14,9,9,16,0,42,25,0,25,1,20,15,5,1
03/10/2020,11,0,5,1,2,3,2,0,0,2,1,0,8,3,0,0,1,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,1,0,2,3,0,0,0,4,0,1,0
03/11/2020,13,0,7,0,4,1,3,3,2,0,0,0,4,9,0,2,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,4,3,0,1,0,5,1,0,0
09/16/2021,473,7,32,95,113,114,54,49,24,21,3,0,249,222,2,84,21,129,154,30,55,0,0,1,1,1,3,0,1,0,2,5,0,3,0,3,1,0,0,0,2,5,2,8,8,6,1,0,16,16,0,6,0,18,7,1,0
03/14/2020,31,0,9,0,9,2,7,6,3,3,1,0,18,13,0,2,2,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3,2,0,7,2,0,2,0,4,3,0,0
02/07/2021,212,8,38,23,48,46,30,31,14,13,7,0,111,99,2,60,11,44,70,14,13,0,0,0,0,1,1,4,2,0,3,5,0,1,1,4,2,0,0,1,6,4,3,7,5,7,5,0,20,18,0,9,1,16,10,1,1
02/16/2021,213,5,34,24,65,30,43,22,17,8,4,0,113,99,1,49,10,40,80,10,24,0,0,0,0,0,1,3,1,0,1,4,0,2,0,2,1,0,0,0,2,3,4,7,7,6,5,0,24,10,0,7,1,16,8,1,1
06/17/2020,219,21,29,18,57,33,32,30,23,13,13,0,110,109,0,109,3,50,40,4,13,0,0,0,1,3,7,5,5,0,11,10,0,9,1,7,4,0,0,1,2,3,2,3,6,5,7,0,17,12,0,6,1,18,4,0,0
02/22/2021,389,8,28,53,90,84,57,54,32,11,8,0,199,190,0,155,13,67,108,11,35,0,0,0,2,2,1,2,1,0,4,4,0,4,0,4,0,0,0,0,1,2,4,4,9,1,7,0,11,17,0,10,0,11,7,0,0
10/07/2021,382,4,17,82,86,86,48,36,30,11,3,0,206,176,0,80,12,89,130,29,42,0,0,0,0,0,1,1,2,0,2,2,0,0,0,2,2,0,0,0,1,0,3,2,7,2,2,0,12,5,0,3,0,8,5,1,0
04/21/2020,875,36,171,20,148,164,160,154,109,56,64,0,439,436,0,416,13,223,136,30,57,0,1,0,3,0,7,11,14,0,14,22,0,12,2,18,4,0,0,1,5,10,16,34,37,34,34,0,73,98,0,57,4,71,29,8,2
10/06/2020,560,2,29,61,176,105,93,71,32,17,5,0,294,265,1,226,15,72,182,17,48,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,5,5,5,4,5,3,1,0,10,19,0,11,1,8,7,1,1
